ENTREZID	SYMBOL
55315	SLC29A3
5660	PSAP
54541	DDIT4
54788	DNAJB12
10367	MICU1
90550	MCU
5033	P4HA1
25961	NUDT13
11319	ECD
317662	FAM149B1
23234	DNAJC9
414245	DNAJC9-AS1
51021	MRPS16
310	ANXA7
5532	PPP3CB
159195	USP54
729092	AGAP5
729096	BMS1P4
2749	GLUD1P3
9632	SEC24C
170384	FUT11
118487	CHCHD1
23053	ZSWIM8
8509	NDST2
818	CAMK2G
5328	PLAU
7414	VCL
26985	AP3M1
132	ADK
23522	KAT6B
142891	SAMD8
7417	VDAC2
118881	COMTD1
84858	ZNF503
100131213	ZNF503-AS2
83938	LRMDA
11128	POLR3A
6229	RPS24
57178	ZMIZ1
10105	PPIF
219654	ZCCHC24
143244	EIF5AL1
650623	BEND3P3
101060691	NUTM2B-AS1
80195	TMEM254
311	ANXA11
439990	LINC00857
84293	PRXL2A
81619	TSPAN14
27069	GHITM
54462	CCSER2
23063	WAPL
657	BMPR1A
79812	MMRN2
6623	SNCG
10974	ADIRF
2746	GLUD1
54537	SHLD2
728118	NUTM2A
728190	NUTM2A-AS1
439994	LINC00863
9562	MINPP1
9060	PAPSS2
84896	ATAD1
5728	PTEN
55328	RNLS
118932	ANKRD22
57559	STAMBPL1
59	ACTA2
355	FAS
3988	LIPA
3433	IFIT2
3437	IFIT3
3434	IFIT1
24138	IFIT5
53354	PANK1
9585	KIF20B
643529	LINC00865
3363	HTR7
10556	RPP30
27063	ANKRD1
84333	PCGF5
143279	HECTD2
5507	PPP1R3C
80351	TNKS2
143282	FGFBP3
9044	BTAF1
22849	CPEB3
54708	MARCHF5
3416	IDE
3832	KIF11
3087	HHEX
54536	EXOC6
26509	MYOF
55165	CEP55
118924	FRA10AC1
159371	SLC35G1
266971	PIPSL
51196	PLCE1
64318	NOC3L
23232	TBC1D12
3070	HELLS
1562	CYP2C18
9124	PDLIM1
10580	SORBS1
5832	ALDH18A1
26123	TCTN3
953	ENTPD1
54619	CCNJ
9849	ZNF518A
56889	TM9SF3
728658	RPL13AP5
84458	LCOR
26148	NA
84986	ARHGAP19
10023	FRAT1
23401	FRAT2
23223	RRP12
5223	PGAM1
51013	EXOSC1
84287	ZDHHC16
64210	MMS19
80019	UBTD1
118812	MORN4
55361	PI4K2A
60370	AVPI1
83742	MARVELD1
118813	ZFYVE27
401647	GOLGA7B
27291	R3HCC1L
84171	LOXL4
84795	PYROXD2
3257	HPS1
26507	CNNM1
2805	GOT1
81894	SLC25A28
57089	ENTPD7
1355	COX15
51076	CUTC
1244	ABCC2
23268	DNMBP
10613	ERLIN1
1147	CHUK
55280	CWF19L1
282991	BLOC1S2
6319	SCD
90271	OLMALINC
25956	SEC31B
4714	NDUFB8
55662	HIF1AN
55719	SLF2
57715	SEMA4G
84545	MRPL43
56652	TWNK
84445	LZTS2
81855	SFXN3
81621	KAZALD1
8945	BTRC
27343	POLL
25911	DPCD
6468	FBXW4
10360	NPM3
10724	OGA
79591	ARMH3
79803	HPS6
8861	LDB1
23082	PPRC1
9221	NOLC1
8729	GBF1
4791	NFKB2
79176	FBXL15
79004	CUEDC2
100505761	C10orf95-AS1
79847	MFSD13A
10121	ACTR1A
51684	SUFU
81603	TRIM8
403	ARL3
118980	SFXN2
54838	WBP1L
119032	BORCS7
54805	CNNM2
22978	NT5C2
6877	TAF5
84833	ATP5MK
22984	PDCD11
51063	CALHM2
9644	SH3PXD2A
100505839	SH3PXD2A-AS1
79991	STN1
9748	SLK
1308	COL17A1
119392	SFR1
9446	GSTO1
119391	GSTO2
85450	ITPRIP
7511	XPNPEP1
120	ADD3
4601	MXI1
10285	SMNDC1
1847	DUSP5
9126	SMC3
282996	RBM20
27250	PDCD4
92482	BBIP1
8036	SHOC2
57678	GPAM
51703	ACSL5
64429	ZDHHC6
143187	VTI1A
6934	TCF7L2
840	CASP7
79949	PLEKHS1
9937	DCLRE1A
374354	NHLRC2
55088	CCDC186
340706	VWA2
84632	AFAP1L2
3983	ABLIM1
57700	FHIP2A
142940	TRUB1
259217	HSPA12A
57698	SHTN1
6571	SLC18A2
118987	PDZD8
22841	RAB11FIP2
255082	CASC2
63877	FAM204A
143384	CACUL1
340719	NANOS1
8661	EIF3A
404636	DENND10
119559	SFXN4
10935	PRDX3
2869	GRK5
105378510	NA
6001	RGS10
7073	TIAL1
9531	BAG3
22876	INPP5F
79892	MCMBP
11196	SEC23IP
55717	WDR11
2263	FGFR2
11101	ATE1
54780	NSMCE4A
10579	TACC2
59338	PLEKHA1
5654	HTRA1
196792	FAM24B
399815	C10orf88B
80007	C10orf88
118672	PSTK
64376	IKZF5
36	ACADSB
9184	BUB3
51363	CHST15
4942	OAT
390010	NKX1-2
64077	LHPP
9679	FAM53B
399818	EEF1AKMT2
23172	ABRAXAS2
54764	ZRANB1
1488	CTBP2
26098	EDRF1
7390	UROS
56647	BCCIP
55760	DHX32
92565	FANK1
1793	DOCK1
5791	PTPRE
4288	MKI67
4255	MGMT
253738	EBF3
10539	GLRX3
55844	PPP2R2D
664	BNIP3
282974	STK32C
80313	LRRC27
170394	PWWP2B
3632	INPP5A
101	ADAM8
10844	TUBGCP2
118472	ZNF511
282969	FUOM
1892	ECHS1
196743	PAOX
92170	MTG1
503542	SPRN
619207	SCART1
51272	BET1L
60626	RIC8A
23410	SIRT3
5719	PSMD13
80162	PGGHG
10581	IFITM2
8519	IFITM1
10410	IFITM3
11187	PKP3
59307	SIGIRR
338440	ANO9
81490	PTDSS2
6050	RNH1
8045	RASSF7
100506211	MIR210HG
57661	PHRF1
10522	DEAF1
283232	TMEM80
64787	EPS8L2
6888	TALDO1
347862	GATD1
171391	GATD1-DT
105369190	NA
79751	SLC25A22
55367	PIDD1
6181	RPLP2
57104	PNPLA2
283229	CRACR2B
977	CD151
5441	POLR2L
7106	TSPAN4
66005	CHID1
161	AP2A2
4583	MUC2
4586	MUC5AC
727897	MUC5B
54472	TOLLIP
81532	MOB2
1509	CTSD
90019	SYT8
7136	TNNI2
4046	LSP1
7140	TNNT3
6150	MRPL23
283120	H19
7054	TH
10078	TSSC4
10984	KCNQ1OT1
4676	NAP1L4
833	CARS1
114879	OSBPL5
7748	ZNF195
4928	NUP98
27315	PGAP2
391	RHOG
6786	STIM1
6240	RRM1
6737	TRIM21
55128	TRIM68
143503	OR51E1
3046	HBE1
79339	OR51B4
282763	OR51B5
117854	TRIM6
85363	TRIM5
10346	TRIM22
160298	C11orf42
84067	FHIP1B
112464	CAVIN3
6609	SMPD1
10612	TRIM3
23647	ARFIP2
26515	TIMM10B
144132	DNHD1
23378	RRP8
3611	ILK
6881	TAF10
1200	TPP1
8642	DCHS1
63875	MRPL17
387751	GVINP1
7762	ZNF215
7761	ZNF214
8495	PPFIBP2
51700	CYB5R2
8665	EIF3F
79608	RIC3
65975	STK33
9866	TRIM66
6157	RPL27A
6764	DENND2B
56672	AKIP1
56674	TMEM9B
56675	NRIP3
23258	DENND5A
440026	TMEM41B
10527	IPO7
644656	LOC644656
7702	ZNF143
7465	WEE1
23075	SWAP70
283104	SBF2-AS1
81846	SBF2
133	ADM
272	AMPD3
50862	RNF141
9646	CTR9
1982	EIF4G2
58486	ZBED5
729013	ZBED5-AS1
374378	GALNT18
283106	CSNK2A3
55031	USP47
9645	MICAL2
84953	NA
55742	PARVA
7003	TEAD1
644943	RASSF10
406	BMAL1
84280	BTBD10
84188	FAR1
22800	RRAS2
1315	COPB1
5682	PSMA1
5140	PDE3B
120227	CYP2R1
10944	C11orf58
144100	PLEKHA7
10819	OR7E14P
6207	RPS13
5286	PIK3C2A
4925	NUCB2
374383	NCR3LG1
26297	SERGEF
113174	SAAL1
6289	SAA2
6288	SAA1
11234	HPS5
2965	GTF2H1
3939	LDHA
7251	TSG101
55293	UEVLD
144108	SPTY2D1
54503	ZDHHC13
79733	E2F8
89797	NAV2
100126784	LEISA1
10553	HTATIP2
10196	PRMT3
2188	FANCF
258010	SVIP
338645	LUZP2
159963	SLC5A12
103695435	BBOX1-AS1
91057	CCDC34
55366	LGR4
55327	LIN7C
627	BDNF
81930	KIF18A
196074	METTL15
120534	ARL14EP
120526	DNAJC24
196294	IMMP1L
26610	ELP4
5080	PAX6
5954	RCN1
10480	EIF3M
79056	PRRG4
79832	QSER1
91614	DEPDC7
55346	TCP11L1
283267	LINC00294
1479	CSTF3
10114	HIPK3
25758	KIAA1549L
100131378	C11orf91
966	CD59
26273	FBXO3
4076	CAPRIN1
55226	NAT10
25841	ABTB2
847	CAT
26298	EHF
51074	APIP
8050	PDHX
960	CD44
24147	FJX1
54765	TRIM44
143458	LDLRAD3
29099	COMMD9
7189	TRAF6
5896	RAG1
119710	IFTAP
8539	API5
55761	TTC17
51144	HSD17B12
221120	ALKBH3
729799	SEC14L1P1
84680	ACCS
2132	EXT2
3732	CD82
9537	TP53I11
56981	PRDM11
55343	SLC35C1
1408	CRY2
9479	MAPK8IP1
9409	PEX16
120071	LARGE2
51317	PHF21A
90993	CREB3L1
8525	DGKZ
4192	MDK
55626	AMBRA1
283254	HARBI1
9776	ATG13
392	ARHGAP1
79797	ZNF408
9793	CKAP5
4038	LRP4
79096	CSTPP1
84364	ARFGAP2
29763	PACSIN3
1643	DDB2
53	ACP2
10062	NR1H3
8567	MADD
91252	SLC39A13
5702	PSMC3
10658	CELF1
114971	PTPMT1
55709	KBTBD4
4722	NDUFS3
23788	MTCH2
79841	AGBL2
23360	FNBP4
23279	NUP160
5795	PTPRJ
219432	OR4C6
85456	TNKS1BP1
6749	SSRP1
29015	SLC43A3
26519	TIMM10
9246	UBE2L6
10978	CLP1
25921	ZDHHC5
219541	MED19
51075	TMX2
280636	SELENOH
1500	CTNND1
9404	LPXN
80829	ZFP91
374393	FAM111B
101927204	FAM111A-DT
63901	FAM111A
23220	DTX4
5007	OSBP
219988	PATL1
6809	STX3
54948	MRPL16
6947	TCN1
79080	CCDC86
27339	PRPF19
79073	TMEM109
54972	TMEM132A
51296	SLC15A3
923	CD6
55048	VPS37C
1642	DDB1
26007	TKFC
220002	CYB561A3
51524	TMEM138
51259	TMEM216
79869	CPSF7
54949	SDHAF2
9066	SYT7
747	DAGLA
745	MYRF
746	TMEM258
2237	FEN1
3992	FADS1
9415	FADS2
3995	FADS3
2495	FTH1
3619	INCENP
7356	SCGB1A1
79026	AHNAK
1937	EEF1G
64852	TUT1
9219	MTA2
256364	EML3
6094	ROM1
26229	B3GAT3
23193	GANAB
80789	INTS5
79081	LBHD1
751071	CSKMT
790955	UQCC3
51035	UBXN1
26580	BSCL2
221092	HNRNPUL2
283237	TTC9C
79842	ZBTB3
5436	POLR2G
10629	TAF6L
374395	TMEM179B
79064	TMEM223
10482	NXF1
6811	STX5
54663	WDR74
23642	SNHG1
9304	SNORD22
9298	SNORD31
9299	SNORD30
9302	SNORD26
6520	SLC3A2
5920	PLAAT4
11145	PLAAT3
25923	ATL3
10313	RTN3
65998	ZFTA
144097	SPINDOC
2011	MARK2
283248	RCOR2
79829	NAA40
1351	COX8A
55611	OTUB1
28992	MACROD1
10963	STIP1
83706	FERMT3
83707	TRPT1
84304	NUDT22
3338	DNAJC4
7423	VEGFB
2286	FKBP2
26472	PPP1R14B
5331	PLCB3
56834	GPR137
572	BAD
25858	CATSPERZ
2101	ESRRA
51504	TRMT112
25824	PRDX5
283234	CCDC88B
8986	RPS6KA4
7536	SF1
5871	MAP4K2
4221	MEN1
55561	CDC42BPG
10938	EHD1
23130	ATG2A
5526	PPP2R5B
402	ARL2
29901	SAC3D1
113130	CDCA5
7542	ZFPL1
738	VPS51
7108	TM7SF2
741	ZNHIT2
2197	FAU
740	MRPL49
84447	SYVN1
728975	CAPN1-AS1
823	CAPN1
440044	SLC22A20P
23649	POLA2
10435	CDC42EP2
5977	DPF2
283130	SLC25A45
83786	FRMD8
283131	NEAT1
378938	MALAT1
57410	SCYL1
4054	LTBP3
254100	ZNRD2-DT
10534	ZNRD2
23625	FAM89B
254102	EHBP1L1
4296	MAP3K11
399909	PCNX3
6494	SIPA1
5970	RELA
10524	KAT5
84153	RNASEH2C
91056	AP5B1
5017	OVOL1
1072	CFL1
80198	MUS81
30008	EFEMP2
9158	FIBP
11007	CCDC85B
8061	FOSL1
83638	C11orf68
10589	DRAP1
9092	SART1
84285	EIF1AD
8815	BANF1
117144	CATSPER1
10992	SF3B2
55690	PACS1
64837	KLC2
81876	RAB1B
10897	YIF1A
9610	RIN1
25855	BRMS1
11041	B4GAT1
3177	SLC29A2
65003	MRPL11
246330	PELI3
10072	DPP3
582	BBS1
254359	ZDHHC24
8722	CTSF
9973	CCS
10432	RBM14
5936	RBM4
83759	RBM4B
6712	SPTBN2
79703	TOP6BL
9986	RCE1
5091	PC
78999	LRFN4
91683	SYT12
29984	RHOD
22992	KDM2A
156	GRK2
338692	ANKRD13D
54961	SSH3
100130987	LOC100130987
57804	POLD4
23529	CLCF1
5883	RAD9A
5499	PPP1CA
6199	RPS6KB2
57175	CORO1B
57010	CABP4
80194	TMEM134
9049	AIP
9600	PITPNM1
10263	CDK2AP2
2950	GSTP1
4723	NDUFV1
254552	NUDT8
645332	FAM86C2P
81622	UNC93B1
221	ALDH3B1
4728	NDUFS8
10312	TCIRG1
1119	CHKA
51111	KMT5B
53838	C11orf24
4041	LRP5
55291	PPP6R3
51083	GAL
9633	TESMIN
1374	CPT1A
219927	MRPL21
3508	IGHMBP2
219931	TPCN2
26579	MYEOV
595	CCND1
220064	LTO1
55107	ANO1
8772	FADD
8500	PPFIA1
2017	CTTN
22941	SHANK2
1717	DHCR7
55191	NADSYN1
55199	FAM86C1P
100133315	XNDC1N
55298	RNF121
10068	IL18BP
4926	NUMA1
220074	LRTOMT
55004	LAMTOR1
25906	ANAPC15
3636	INPPL1
81570	CLPB
116985	ARAP1
10809	STARD10
89849	ATG16L2
9873	FCHSD2
5029	P2RY2
5031	P2RY6
9828	ARHGEF17
84957	RELT
23201	FAM168A
58473	PLEKHB1
5870	RAB6A
51642	MRPL48
51287	COA4
80227	PAAF1
7351	UCP2
7352	UCP3
26005	C2CD3
51400	PPME1
283209	PGM2L1
10008	KCNE3
387787	LIPT2
100287896	LIPT2-AS1
10714	POLD3
254225	RNF169
143570	XRRA1
9789	SPCS2
10825	NEU3
408	ARRB1
6188	RPS3
283212	KLHL35
81544	GDPD5
871	SERPINH1
84649	DGAT2
7405	UVRAG
5612	THAP12
100506127	GVQW3
56946	EMSY
25987	TSKU
55331	ACER3
726	CAPN5
4647	MYO7A
5058	PAK1
1207	CLNS1A
51773	RSF1
28971	AAMDC
92105	INTS4
4718	NDUFC2
79053	ALG8
283219	KCTD21
57558	USP35
9846	GAB2
79731	NARS2
26011	TENM4
5547	PRCP
220042	DDIAS
27314	RAB30
100506233	RAB30-DT
51585	PCF11
338699	ANKRD42
60492	CCDC90B
1740	DLG2
55863	TMEM126B
84233	TMEM126A
58487	CREBZF
54843	SYTL2
8301	PICALM
8726	EED
51501	HIKESHI
10873	ME3
11098	PRSS23
8322	FZD4
65084	TMEM135
23682	RAB38
1075	CTSC
10003	NAALAD2
26973	CHORDC1
120103	SLC36A4
85459	CEP295
619383	SCARNA9
654320	SNORA8
692072	SNORD5
677805	SNORA18
677822	SNORA40
79101	TAF1D
28970	C11orf54
9440	MED17
341208	HEPHL1
24145	PANX1
4361	MRE11
54851	ANKRD49
2526	FUT4
143689	PIWIL4
154810	AMOTL1
51503	CWC15
55693	KDM4D
10929	SRSF8
23052	ENDOD1
143686	SESN3
143684	FAM76B
9702	CEP57
8898	MTMR2
84441	MAML2
79780	CCDC82
8690	JRKL
143872	ARHGAP42
83935	NA
57562	CEP126
85016	CFAP300
10413	YAP1
330	BIRC3
329	BIRC2
114908	TMEM123
4316	MMP7
4319	MMP10
4312	MMP1
4321	MMP12
4322	MMP13
84259	DCUN1D5
79659	DYNC2H1
837	CASP4
834	CASP1
114769	CARD16
84437	MSANTD4
143879	KBTBD3
60496	AASDHPPT
143884	CWF19L2
91801	ALKBH8
54733	SLC35F2
8065	CUL5
38	ACAT1
4863	NPAT
472	ATM
143888	POGLUT3
23086	EXPH5
1662	DDX10
85463	ZC3H12C
5962	RDX
2230	FDX1
120376	POU2AF3
23235	SIK2
5519	PPP2R1B
79796	ALG9
91893	FDXACB1
64776	CFAP68
85458	DIXDC1
1737	DLAT
120379	PIH1D2
55216	NKAPD1
26521	TIMM8B
6392	SDHD
3606	IL18
5805	PTS
54970	TTC12
255239	ANKK1
9183	ZW10
57646	USP28
4837	NNMT
54494	C11orf71
10179	RBM7
25996	REXO2
84811	BUD13
8882	ZPR1
23387	SIK3
5049	PAFAH1B2
51092	SIDT2
6876	TAGLN
9159	PCSK7
257160	RNF214
23621	BACE1
22897	CEP164
56649	TMPRSS4
196264	MPZL3
10205	MPZL2
9354	UBE4A
10632	ATP5MG
4297	KMT2A
84866	TMEM25
56912	IFT46
372	ARCN1
23187	PHLDB1
1656	DDX6
283149	BCL9L
7379	UPK2
338657	CENATAC
649946	RPL23AP64
6230	RPS25
51399	TRAPPC4
2542	SLC37A4
10525	HYOU1
55823	VPS11
3145	HMBS
3014	H2AX
1798	DPAGT1
9854	C2CD2L
25988	HINFP
79671	NLRX1
867	CBL
4162	MCAM
79102	RNF26
9099	USP2
5818	NECTIN1
23650	TRIM29
220323	OAF
219902	TLCD5
23365	ARHGEF12
219899	TBCEL
6309	SC5D
6653	SORL1
399959	MIR100HG
84959	UBASH3B
79864	JHY
3312	HSPA8
79827	CLMP
57476	GRAMD1B
7753	ZNF202
4013	VWA5A
84897	TBRG1
54414	SIAE
53340	SPA17
4900	NRGN
23584	VSIG2
90952	ESAM
79684	MSANTD2
64221	ROBO3
80071	CCDC15
219855	SLC37A2
219854	TMEM218
9638	FEZ1
9538	EI24
3703	STT3A
1111	CHEK1
219844	HYLS1
83480	PUS3
50937	CDON
84881	RPUSD4
79607	FAM118B
6734	SRPRA
55572	FOXRED1
114609	TIRAP
28960	DCPS
399972	GSEC
6484	ST3GAL4
2113	ETS1
2313	FLI1
219833	KCNJ5-AS1
9743	ARHGAP32
8538	BARX2
120224	TMEM45B
4798	NFRKB
56980	PRDM10
334	APLP2
6768	ST14
29068	ZBTB44
170689	ADAMTS15
103611081	NA
399979	SNX19
83700	JAM3
23310	NCAPD3
112936	VPS26B
29087	THYN1
27034	ACAD8
89944	GLB1L2
100288778	WASH8P
5927	KDM5A
84318	CCDC77
283358	B4GALNT3
4815	NINJ2
100049716	NINJ2-AS1
65125	WNK1
5893	RAD52
23085	ERC1
144699	FBXL14
79602	ADIPOR2
196513	DCP1B
2288	FKBP4
55846	ITFG2
83714	NRIP2
2305	FOXM1
83695	RHNO1
7289	TULP3
7004	TEAD4
10867	TSPAN9
57097	PARP11
894	CCND2
57103	TIGAR
57102	C12orf4
10635	RAD51AP1
8798	DYRK4
4704	NDUFA9
928	CD9
55200	PLEKHG6
7132	TNFRSF1A
6337	SCNN1A
4055	LTBR
678655	CD27-AS1
55080	TAPBPL
6843	VAMP1
51258	MRPL51
9918	NCAPD2
2597	GAPDH
4839	NOP2
1108	CHD4
57121	LPAR5
51147	ING4
171017	ZNF384
50813	COPS7A
8079	MLF2
5763	PTMS
83461	CDCA3
8078	USP5
7167	TPI1
84727	SPSB2
283345	RPL13P5
171220	DSTNP2
10233	LRRC23
2026	ENO2
1822	ATN1
113246	C12orf57
5777	PTPN6
11331	PHB2
677777	SCARNA12
10436	EMG1
10162	LPCAT3
716	C1S
715	C1R
51279	C1RL
283314	C1RL-AS1
83758	RBP5
9746	CLSTN3
5830	PEX5
341392	ACSM4
283316	CD163L1
55810	FOXJ2
25977	NECAP1
8076	MFAP5
57494	RIMKLB
1911	PHC1
4074	M6PR
100499405	LINC00987
642846	LOC642846
440081	DDX12P
408186	LOC408186
374443	LOC374443
29121	CLEC2D
9976	CLEC2B
4973	OLR1
23710	GABARAPL1
101928100	KLRK1-AS1
3823	KLRC3
3822	KLRC2
10748	KLRA1P
55110	MAGOHB
55359	STYK1
8531	YBX3
338817	LINC01252
2120	ETV6
79370	BCL2L14
100506248	PTMAP9
4040	LRP6
54682	MANSC1
118426	BORCS5
80824	DUSP16
1389	CREBL2
2842	GPR19
1027	CDKN1B
81575	APOLD1
51202	DDX47
9052	GPRC5A
693199	MIR614
55507	GPRC5D
50865	HEBP1
100506314	GPRC5D-AS1
93164	HTR7P1
57613	FAM234B
2012	EMP1
283422	LINC01559
55729	ATF7IP
79887	PLBD1
101928290	PLBD1-AS1
2984	GUCY2C
105369669	LOC105369669
55766	H2AJ
144608	C12orf60
51729	WBP11
397	ARHGDIB
85004	RERG
2059	EPS8
11171	STRAP
51071	DERA
4257	MGST1
5288	PIK3C2G
54477	PLEKHA5
121536	AEBP2
28234	SLCO1B3
338821	SLCO1B7
10599	SLCO1B1
79912	PYROXD1
5965	RECQL
51026	GOLT1B
3945	LDHB
55907	CMAS
9847	C2CD5
55500	ETNK1
4033	IRAG2
144363	ETFRF1
3845	KRAS
100506451	RASSF8-AS1
11228	RASSF8
79365	BHLHE41
8082	SSPN
3709	ITPR2
55726	INTS13
26127	FGFR1OP2
51768	TM7SF3
9412	MED21
23012	STK38L
56938	BMAL2
8496	PPFIBP1
387849	REP15
60488	MRPS35
57542	KLHL42
5744	PTHLH
55297	CCDC91
55711	FAR2
51290	ERGIC2
10526	IPO8
65981	CAPRIN2
100287314	LINC00941
1663	DDX11
58516	SINHCAF
160518	DENND5B
196394	AMN1
440093	H3-5
55196	RESF1
636	BICD1
121512	FGD4
10059	DNM1L
51067	YARS2
5318	PKP2
84920	ALG10
144245	ALG10B
144402	CPNE8
55605	KIF21A
114134	SLC2A13
1272	CNTN1
283464	GXYLT1
10138	YAF2
85437	ZCRB1
51535	PPHLN1
144165	PRICKLE1
80070	ADAMTS20
83448	PUS7L
51135	IRAK4
5756	TWF1
84216	TMEM117
4753	NELL2
51054	PLEKHA8P1
196527	ANO6
400027	LINC00938
196528	ARID2
9169	SCAF11
81539	SLC38A1
54407	SLC38A2
100288798	SLC38A4-AS1
55089	SLC38A4
347902	AMIGO2
91523	PCED1B
79657	RPAP3
10411	RAPGEF3
55652	SLC48A1
51564	HDAC7
7421	VDR
79022	TMEM106C
29843	SENP1
5213	PFKM
140461	ASB8
121274	ZNF641
121273	C12orf54
54934	KANSL2
904	CCNT1
112	ADCY6
784	CACNB3
9416	DDX23
27289	RND1
51303	FKBP11
377	ARF3
7480	WNT10B
23109	DDN
5571	PRKAG1
8085	KMT2D
121268	RHEBL1
55716	LMBR1L
10376	TUBA1B
7846	TUBA1A
84790	TUBA1C
10024	TROAP
79962	DNAJC22
65244	SPATS2
10445	MCRS1
25766	PRPF40B
91010	FMNL3
7009	TMBIM6
57701	NCKAP5L
29127	RACGAP1
41	ASIC1
6602	SMARCD1
84987	COX14
91012	CERS5
51474	LIMA1
113251	LARP4
57609	DIP2B
466	ATF1
25840	TMT1A
4891	SLC11A2
25875	LETMD1
81566	CSRNP2
7024	TFCP2
9802	DAZAP2
57228	SMAGP
11226	GALNT6
91	ACVR1B
3164	NR4A1
60673	ATG101
144501	KRT80
3855	KRT7
3854	KRT6B
3853	KRT6A
3852	KRT5
3851	KRT4
3856	KRT8
3875	KRT18
1975	EIF4B
283335	TNS2-AS1
23371	TNS2
84926	SPRYD3
3489	IGFBP6
51380	CSAD
283337	ZNF740
3695	ITGB7
5916	RARG
84975	MFSD5
9700	ESPL1
5204	PFDN5
60314	MYG1
8086	AAAS
6667	SP1
54458	PRR13
5094	PCBP2
7786	MAP3K12
6895	TARBP2
11016	ATF7
517	ATP5MC2
57658	CALCOCO1
3227	HOXC11
3225	HOXC9
3224	HOXC8
3223	HOXC6
3221	HOXC4
23583	SMUG1
23468	CBX5
3178	HNRNPA1
4778	NFE2
22818	COPZ1
25946	ZNF385A
3678	ITGA5
121355	GTSF1
2647	BLOC1S1
967	CD63
10220	GDF11
84324	SARNP
29095	ORMDL2
85406	DNAJC14
440104	TMEM198B
84305	PYM1
1606	DGKA
1017	CDK2
5869	RAB5B
6821	SUOX
64375	IKZF4
6231	RPS26
2065	ERBB3
5036	PA2G4
6171	RPL41
84872	ZC3H10
23344	ESYT1
140465	MYL6B
4637	MYL6
6601	SMARCC2
10193	RNF41
79035	NABP2
283373	ANKRD52
93058	COQ10A
1431	CS
10330	CNPY2
9924	PAN2
51561	IL23A
6773	STAT2
8914	TIMELESS
283377	SPRYD4
27165	GLS2
5939	RBMS2
11176	BAZ2A
506	ATP5F1B
10728	PTGES3
4666	NACA
5557	PRIM1
9880	ZBTB39
23306	NEMP1
4665	NAB2
6778	STAT6
4035	LRP1
11247	NXPH4
6472	SHMT2
246329	STAC3
22864	R3HDM2
4141	MARS1
1649	DDIT3
114785	MBD6
10540	DCTN2
79837	PIP4K2C
196403	DTX3
115557	ARHGEF25
65012	SLC26A10P
2583	B4GALNT1
10956	OS9
116986	AGAP2
100130776	AGAP2-AS1
6302	TSPAN31
1019	CDK4
92979	MARCHF9
1594	CYP27B1
4234	METTL1
25895	EEF1AKMT3
10102	TSFM
10677	AVIL
10106	CTDSP2
121227	LRIG3
9194	SLC16A7
9958	USP15
23041	MON2
283416	LINC01465
57460	PPM1H
10329	RXYLT1
57522	SRGAP1
144577	KICS2
11260	XPOT
29110	TBK1
283349	RASSF3
2799	GNS
23329	TBC1D30
23592	LEMD3
253827	MSRB3
204010	RPSAP52
8091	HMGA2
100129940	HMGA2-AS1
84298	LLPH
51643	TMBIM4
11213	IRAK3
92797	HELB
23426	GRIP1
55832	CAND1
8445	DYRK2
56890	MDM1
5908	RAP1B
57122	NUP107
55508	SLC35E3
4193	MDM2
1368	CPM
11052	CPSF6
8089	YEATS4
10818	FRS2
10576	CCT2
117177	RAB3IP
4848	CNOT2
27345	KCNMB4
5787	PTPRB
5801	PTPRR
7103	TSPAN8
196441	ZFC3H1
83591	THAP2
55266	TMEM19
23011	RAB21
64786	TBC1D15
552889	ATXN7L3B
84698	CAPS2
11010	GLIPR1
11103	KRR1
22822	PHLDA1
4673	NAP1L1
79738	BBS10
114882	OSBPL8
23390	ZDHHC17
1466	CSRP2
144455	E2F7
89795	NAV3
5074	PAWR
4659	PPP1R12A
374462	PTPRQ
29080	CCDC59
84190	METTL25
160335	TMTC2
9182	RASSF9
91298	RLIG1
80184	CEP290
160418	TMTC3
4254	KITLG
1848	DUSP6
282809	POC1B
8693	GALNT4
490	ATP2B1
694	BTG1
8411	EEA1
643339	LOC643339
11163	NUDT4
7334	UBE2N
28977	MRPL42
8835	SOCS2
8738	CRADD
51134	CEP83
57458	TMCC3
55967	NDUFA12
7181	NR2C1
55785	FGD6
55591	VEZT
10988	METAP2
59277	NTN4
6636	SNRPF
3034	HAL
4048	LTA4H
2004	ELK3
5128	CDK17
121441	NEDD1
100128191	TMPO-AS1
7112	TMPO
5250	SLC25A3
121457	IKBIP
317	APAF1
23074	BLTP3B
55592	GOLGA2P5
64431	ACTR6
55681	SCYL2
283431	GAS2L3
27340	UTP20
400	ARL1
56994	CHPT1
79158	GNPTAB
55332	DRAM1
51019	WASHC3
79023	NUP37
55010	PARPBP
51559	NT5DC3
7184	HSP90B1
728568	UQCC6
6996	TDG
29915	HCFC2
4801	NFYB
7296	TXNRD1
50515	CHST11
84102	SLC41A2
121053	NOPCHAP1
23325	WASHC4
55198	APPL2
387882	C12orf75
9891	NUAK1
10970	CKAP4
255394	TCP11L2
55703	POLR3B
55188	RIC8B
90488	TMEM263
80298	MTERF2
1407	CRY1
121551	ABTB3
11137	PWP1
11108	PRDM4
11153	FICD
9733	SART3
23479	ISCU
6404	SELPLG
23603	CORO1C
54434	SSH1
84749	USP30
121642	ALKBH2
7374	UNG
83892	KCTD10
89910	UBE3B
326625	MMAB
4598	MVK
84915	FAM222A
